,category,comments
251,positive,қош келдің
252,positive,дұрыс осылай осылай адам болады
253,positive,керемет көктен іздегенім жерден табылды дегендей
254,negative,менде қорқамын доллардың көтерілуінен
255,positive,өйткені европа нағыз құнын біледі
256,neutral,"динара, не үшін?)"
257,neutral,пілмен
258,negative,сонда кеткен үш - төрт сағат уақыттарын пайдалы іске жұмсаса ғой.ақымақтар
260,positive,"жанибек, алламла ниетіңе қарап береді, ниетіңіз түзу болсын! жаман ойламаңыз."
262,negative,сен кетсең қалай өмір сүре аламын.....
264,positive,талай өмірді көрген доп ау)
265,negative,хиджаб кигеннің бəрі иманды емес
266,positive,жақсы ойыншы))
267,neutral,ерасыл аманжол емеспе атыраудағы ?!
268,neutral,"қазақстан шекараны жабық ұстаса, тыр жалаңаш, аш қаласың. себебі, ішіп отырған тамағың, жеп отырған наның, баршасы – сырттан келген өнімдер."
269,neutral,бір бентлиді көрсеңіз.
270,neutral,31ші жасы дешиш кайдагы 31 ші туган күні
271,neutral,"тапсырыспен портрет саламыз! бағасын келісеміз сапалы әрі көңіліңізден шығары анықшымкент қаласы бойынша,,,басқа қалаларға да жібере аламыз"
272,neutral,"алдыңғы буын шарап сусынға шайқалып жүрсе, кейінгісінен не күтеміз???"
273,negative,уфаның заменасына шіріп кетті ау байғұс!
276,positive,"мейіржан, ол оз оиын. негизи уят емес"
277,negative,футболды жабыңдар құрсын бұндай футболдың барынан жоғы
278,neutral,зəкеңнің ойыншысын көрген шғар.
279,positive,ой бәрекелді дұрыс дұрыс. димізда іске келгенде ешқайсымыз істеп жатқан жоқ сияқтымыз
280,negative,өмірден не көрмедің сен!
281,positive,рәхмәт. бик матур.
282,positive,күмән болмасын ағайын!!!
283,positive,ниеті түзу баланың)
284,neutral,керегін таңда
287,positive,өте керемет өтті-демей ма.
286,negative,одан кейін көпшілік жамандықта жиналмайды деген админ қума
292,positive,"айтысатын ақсақалмен, қызбенен, ақын халық екенбізғой біз деген."
293,neutral,оны кімнің позициясына қояды
294,negative,біздің сборной қаншама жылдан бері навес көтере алмайды. тек короткий пастармен ойнайды. игроктар физический әлсіз. дриблингы мықты дейтін ешқандай футболшы жоқ.
296,positive,керемет ! талабыңызға нұр жаусын !
299,positive,формасы жақсы екен.
306,neutral,құрамның тізімі жоқ па?
307,positive,қазақтар салыпты ғой
300,neutral,бұйырса қайрат-тараз ойынына барамын бірақ турдың орталық ойыны астана-ақтөбе
